Folio,Cierre Esperado,Pagos Esperados,Pagos Realizados,Pagos Cubiertos,Avance Esperado,Avance Cumplido,Diferencia,Riesgo
695,1,16,5,31 %,100 %,27 %,"477,5 %",Extremo
96,1,27,12,44 %,100 %,42 %,"474,4 %",Extremo
482,1,44,25,57 %,100 %,56 %,"442,4 %",Extremo
131,1,36,19,53 %,100 %,51 %,"440,8 %",Extremo
618,1,36,24,67 %,100 %,167 %,"429,1 %",Extremo
290,1,27,13,48 %,100 %,46 %,"412,1 %",Extremo
484,1,27,13,48 %,100 %,46 %,"412,1 %",Extremo
466,1,16,6,38 %,100 %,33 %,"390,9 %",Extremo
496,1,16,6,38 %,100 %,33 %,"390,9 %",Extremo
100,1,27,14,52 %,100 %,50 %,"354,4 %",Extremo
172,1,44,27,61 %,100 %,60 %,"353,6 %",Extremo
490,1,21,10,48 %,100 %,45 %,"338,9 %",Extremo
587,1,21,14,67 %,100 %,184 %,"330,7 %",Extremo
180,1,44,28,64 %,100 %,63 %,"313,0 %",Extremo
181,1,44,28,64 %,100 %,63 %,"313,0 %",Extremo
155,1,36,22,61 %,100 %,60 %,"297,8 %",Extremo
156,1,36,22,61 %,100 %,60 %,"297,8 %",Extremo
537,1,16,7,44 %,100 %,48 %,"275,7 %",Extremo
242,1,16,8,50 %,100 %,47 %,"246,1 %",Extremo
255,1,16,8,50 %,100 %,47 %,"246,1 %",Extremo
654,1,16,15,94 %,100 %,461 %,"227,4 %",Extremo
495,1,21,12,57 %,100 %,55 %,"225,0 %",Extremo
143,1,36,24,67 %,100 %,66 %,"218,4 %",Extremo
113,1,27,17,63 %,100 %,62 %,"208,3 %",Extremo
712,1,21,7,33 %,100 %,121 %,"203,1 %",Extremo
575,1,27,9,33 %,100 %,82 %,"201,5 %",Extremo
479,1,16,9,56 %,100 %,53 %,"187,2 %",Extremo
493,1,16,9,56 %,100 %,53 %,"187,2 %",Extremo
197,1,44,32,73 %,100 %,72 %,"175,6 %",Extremo
199,1,44,32,73 %,100 %,72 %,"175,6 %",Extremo
634,1,16,14,88 %,100 %,249 %,"168,6 %",Extremo
641,1,16,10,63 %,100 %,145 %,"158,3 %",Extremo
76,1,11,6,55 %,100 %,50 %,"151,6 %",Extremo
274,1,16,10,63 %,100 %,60 %,"136,7 %",Extremo
279,1,16,10,63 %,100 %,60 %,"136,7 %",Extremo
463,1,16,10,63 %,100 %,60 %,"136,7 %",Extremo
240,0,17,1,6 %,62 %,0 %,"134,0 %",Extremo
427,0,17,1,6 %,62 %,0 %,"134,0 %",Extremo
694,0,10,1,10 %,60 %,0 %,"122,9 %",Extremo
167,1,36,27,75 %,100 %,74 %,"122,5 %",Extremo
168,1,36,27,75 %,100 %,74 %,"122,5 %",Extremo
677,0,11,1,9 %,23 %,0 %,"122,2 %",Extremo
213,1,44,34,77 %,100 %,77 %,"121,9 %",Extremo
214,1,44,34,77 %,100 %,77 %,"121,9 %",Extremo
305,1,44,34,77 %,100 %,77 %,"121,9 %",Extremo
17,0,19,2,11 %,51 %,0 %,"120,7 %",Extremo
23,1,16,5,31 %,100 %,88 %,"114,0 %",Extremo
613,1,36,20,56 %,100 %,89 %,"107,6 %",Extremo
547,0,14,2,14 %,87 %,8 %,"101,7 %",Extremo
150,1,27,20,74 %,100 %,73 %,"101,6 %",Extremo
672,0,12,2,17 %,73 %,6 %,"98,7 %",Extremo
186,1,36,28,78 %,100 %,77 %,"96,8 %",Extremo
444,0,16,3,19 %,43 %,6 %,"91,0 %",Extremo
673,1,16,14,88 %,100 %,182 %,"89,4 %",Extremo
670,1,16,8,50 %,100 %,115 %,"89,3 %",Extremo
64,0,20,4,20 %,44 %,7 %,"86,7 %",Extremo
614,0,21,3,14 %,57 %,20 %,"83,1 %",Extremo
533,0,26,3,12 %,58 %,26 %,"82,3 %",Extremo
645,1,36,28,78 %,100 %,118 %,"77,8 %",Peligro Muy Alto
562,0,26,6,23 %,58 %,12 %,"76,2 %",Peligro Muy Alto
643,1,44,29,66 %,100 %,108 %,"72,2 %",Peligro Muy Alto
125,1,21,16,76 %,100 %,75 %,"68,7 %",Peligro Muy Alto
716,0,7,2,29 %,40 %,7 %,"68,1 %",Peligro Muy Alto
543,0,28,7,25 %,77 %,17 %,"68,0 %",Peligro Muy Alto
723,0,7,2,29 %,14 %,2 %,"67,6 %",Peligro Muy Alto
243,0,22,6,27 %,49 %,12 %,"67,1 %",Peligro Muy Alto
247,0,22,6,27 %,49 %,12 %,"67,1 %",Peligro Muy Alto
649,1,44,36,82 %,100 %,115 %,"63,7 %",Peligro Muy Alto
258,0,21,6,29 %,57 %,14 %,"63,0 %",Peligro Muy Alto
221,1,44,37,84 %,100 %,84 %,"59,7 %",Peligro Muy Alto
748,0,3,1,33 %,13 %,0 %,"58,9 %",Peligro Muy Alto
244,0,23,7,30 %,63 %,17 %,"57,8 %",Peligro Muy Alto
246,0,23,7,30 %,63 %,17 %,"57,8 %",Peligro Muy Alto
567,1,16,10,63 %,100 %,86 %,"56,8 %",Peligro Muy Alto
657,0,13,4,31 %,46 %,16 %,"56,5 %",Peligro Muy Alto
74,0,24,7,29 %,88 %,23 %,"56,1 %",Peligro Muy Alto
77,0,24,7,29 %,88 %,23 %,"56,1 %",Peligro Muy Alto
703,0,9,3,33 %,20 %,6 %,"55,7 %",Peligro Muy Alto
185,1,36,30,83 %,100 %,83 %,"54,4 %",Peligro Muy Alto
69,0,24,8,33 %,53 %,16 %,"52,8 %",Peligro Muy Alto
522,0,15,5,33 %,54 %,16 %,"52,6 %",Peligro Muy Alto
71,0,22,7,32 %,81 %,23 %,"51,9 %",Peligro Muy Alto
72,0,24,8,33 %,66 %,20 %,"51,1 %",Peligro Muy Alto
170,0,26,9,35 %,50 %,16 %,"50,5 %",Peligro Muy Alto
617,1,27,24,89 %,100 %,129 %,"44,9 %",Peligro Alto
261,0,26,9,35 %,58 %,25 %,"44,4 %",Peligro Alto
730,0,5,2,40 %,27 %,7 %,"44,2 %",Peligro Alto
220,1,44,38,86 %,100 %,86 %,"43,8 %",Peligro Alto
81,0,26,9,35 %,96 %,31 %,"42,8 %",Peligro Alto
262,0,26,10,38 %,58 %,21 %,"42,1 %",Peligro Alto
273,0,26,10,38 %,58 %,21 %,"42,1 %",Peligro Alto
283,0,26,10,38 %,58 %,21 %,"42,1 %",Peligro Alto
286,0,26,10,38 %,58 %,21 %,"42,1 %",Peligro Alto
675,0,26,7,27 %,58 %,47 %,"41,2 %",Peligro Alto
633,1,16,13,81 %,100 %,124 %,"40,5 %",Peligro Alto
265,0,26,10,38 %,71 %,26 %,"40,2 %",Peligro Alto
270,0,26,10,38 %,71 %,26 %,"40,2 %",Peligro Alto
254,0,25,10,40 %,69 %,26 %,"38,0 %",Muy Alto
205,1,36,31,86 %,100 %,86 %,"37,8 %",Muy Alto
560,1,21,18,86 %,100 %,123 %,"37,1 %",Muy Alto
80,0,26,10,38 %,96 %,35 %,"36,0 %",Muy Alto
280,0,26,11,42 %,58 %,23 %,"35,5 %",Muy Alto
552,0,27,10,37 %,60 %,36 %,"35,0 %",Muy Alto
651,1,44,37,84 %,100 %,109 %,"34,2 %",Muy Alto
289,1,16,13,81 %,100 %,80 %,"33,8 %",Muy Alto
529,0,24,7,29 %,88 %,53 %,"33,5 %",Muy Alto
531,1,44,39,89 %,100 %,87 %,"32,9 %",Muy Alto
554,0,33,10,30 %,74 %,54 %,"32,7 %",Muy Alto
219,1,44,39,89 %,100 %,88 %,"30,4 %",Muy Alto
319,1,44,39,89 %,100 %,88 %,"30,4 %",Muy Alto
669,0,11,5,45 %,23 %,16 %,"30,2 %",Muy Alto
291,0,29,13,45 %,80 %,34 %,"28,7 %",Alto
59,0,16,7,44 %,35 %,28 %,"28,7 %",Alto
293,0,28,13,46 %,63 %,28 %,"28,6 %",Alto
93,0,30,14,47 %,67 %,30 %,"27,7 %",Alto
753,0,2,1,50 %,3 %,0 %,"26,0 %",Alto
590,1,44,43,98 %,100 %,150 %,"25,5 %",Alto
89,0,31,15,48 %,70 %,33 %,"25,2 %",Alto
123,0,33,16,48 %,74 %,35 %,"24,5 %",Alto
551,1,44,37,84 %,100 %,106 %,"23,7 %",Alto
660,0,26,9,35 %,71 %,73 %,"23,6 %",Alto
592,0,62,21,34 %,76 %,77 %,"23,4 %",Alto
91,0,31,15,48 %,86 %,40 %,"23,3 %",Alto
105,0,32,16,50 %,72 %,35 %,"22,9 %",Alto
532,1,27,24,89 %,100 %,86 %,"22,8 %",Alto
124,0,33,16,48 %,91 %,43 %,"22,4 %",Alto
126,0,33,16,48 %,91 %,43 %,"22,4 %",Alto
620,0,26,13,50 %,58 %,34 %,"21,8 %",Alto
530,0,22,10,45 %,60 %,47 %,"21,1 %",Alto
26,0,19,9,47 %,42 %,39 %,"21,0 %",Alto
109,0,32,16,50 %,89 %,43 %,"21,0 %",Alto
296,0,32,16,50 %,89 %,43 %,"21,0 %",Alto
132,0,35,18,51 %,79 %,40 %,"20,4 %",Alto
306,1,44,40,91 %,100 %,91 %,"19,5 %",Regular
659,0,31,12,39 %,86 %,76 %,"19,3 %",Regular
299,0,33,17,52 %,91 %,46 %,"19,0 %",Regular
546,0,25,12,48 %,69 %,54 %,"17,4 %",Regular
609,0,28,15,54 %,63 %,43 %,"16,1 %",Regular
565,0,26,14,54 %,58 %,41 %,"16,1 %",Regular
548,0,15,10,67 %,93 %,29 %,"15,0 %",Regular
217,1,36,33,92 %,100 %,91 %,"13,6 %",Regular
154,0,40,23,58 %,91 %,51 %,"13,4 %",Regular
553,0,26,14,54 %,50 %,49 %,"13,0 %",Regular
652,0,32,18,56 %,89 %,56 %,"12,7 %",Regular
142,0,41,24,59 %,93 %,53 %,"12,4 %",Regular
163,0,42,25,60 %,95 %,56 %,"11,6 %",Regular
164,0,42,25,60 %,95 %,56 %,"11,6 %",Regular
583,0,26,16,62 %,58 %,37 %,"11,5 %",Regular
43,0,17,10,59 %,37 %,37 %,"10,8 %",Regular
147,0,41,25,61 %,93 %,56 %,"10,7 %",Regular
14,0,19,11,58 %,51 %,48 %,"10,5 %",Regular
636,0,37,20,54 %,84 %,83 %,"9,9 %",Bajo
714,0,8,5,63 %,16 %,15 %,"9,8 %",Bajo
683,0,11,7,64 %,23 %,19 %,"9,2 %",Bajo
595,1,44,41,93 %,100 %,106 %,"9,0 %",Bajo
48,1,27,25,93 %,100 %,92 %,"8,3 %",Bajo
175,1,27,25,93 %,100 %,92 %,"8,3 %",Bajo
593,0,21,13,62 %,47 %,46 %,"8,0 %",Bajo
535,0,32,19,59 %,89 %,89 %,"7,5 %",Bajo
746,0,3,2,67 %,5 %,1 %,"6,7 %",Bajo
212,1,36,34,94 %,100 %,94 %,"6,1 %",Bajo
238,1,36,34,94 %,100 %,94 %,"6,1 %",Bajo
747,0,3,2,67 %,5 %,4 %,"6,0 %",Bajo
671,1,27,26,96 %,100 %,112 %,"6,0 %",Bajo
576,0,26,17,65 %,96 %,79 %,"6,0 %",Bajo
550,0,30,19,63 %,83 %,79 %,"5,9 %",Bajo
615,1,27,23,85 %,100 %,102 %,"5,6 %",Bajo
445,0,15,10,67 %,54 %,49 %,"5,6 %",Bajo
559,1,21,17,81 %,100 %,99 %,"5,1 %",Bajo
39,0,18,12,67 %,49 %,49 %,"5,0 %",Bajo
324,1,44,42,95 %,100 %,95 %,"4,9 %",Muy Bajo
646,0,41,28,68 %,93 %,90 %,"4,5 %",Muy Bajo
629,0,40,28,70 %,91 %,89 %,"3,9 %",Muy Bajo
628,0,26,18,69 %,58 %,56 %,"3,8 %",Muy Bajo
586,1,45,44,98 %,100 %,93 %,"3,7 %",Muy Bajo
724,0,7,5,71 %,14 %,11 %,"3,4 %",Muy Bajo
638,0,32,23,72 %,89 %,80 %,"3,4 %",Muy Bajo
598,0,26,19,73 %,96 %,95 %,"3,4 %",Muy Bajo
733,1,27,23,85 %,100 %,101 %,"3,4 %",Muy Bajo
580,1,21,20,95 %,100 %,94 %,"3,1 %",Muy Bajo
111,1,19,18,95 %,100 %,94 %,"3,1 %",Muy Bajo
116,1,19,18,95 %,100 %,94 %,"3,1 %",Muy Bajo
578,1,27,26,96 %,100 %,105 %,"2,6 %",Muy Bajo
582,0,34,25,74 %,77 %,77 %,"2,3 %",Muy Bajo
555,0,26,19,73 %,58 %,58 %,"2,3 %",Muy Bajo
704,0,9,7,78 %,53 %,40 %,"2,1 %",Muy Bajo
740,0,4,3,75 %,20 %,13 %,"2,1 %",Muy Bajo
18,0,19,14,74 %,42 %,43 %,"2,0 %",Muy Bajo
581,0,39,31,79 %,88 %,75 %,"1,8 %",Muy Bajo
431,0,16,12,75 %,35 %,35 %,"1,7 %",Muy Bajo
309,1,36,35,97 %,100 %,97 %,"1,5 %",Muy Bajo
639,0,35,27,77 %,79 %,79 %,"1,5 %",Muy Bajo
443,0,12,9,75 %,31 %,33 %,"1,4 %",Muy Bajo
545,0,26,20,77 %,58 %,57 %,"1,2 %",Muy Bajo
540,0,26,20,77 %,58 %,58 %,"1,2 %",Muy Bajo
642,0,35,28,80 %,79 %,77 %,"1,0 %",Muy Bajo
635,0,39,32,82 %,88 %,88 %,"1,0 %",Muy Bajo
648,0,13,10,77 %,28 %,27 %,"0,9 %",Muy Bajo
527,0,32,27,84 %,89 %,89 %,"0,7 %",Muy Bajo
607,0,26,23,88 %,96 %,94 %,"0,5 %",Muy Bajo
539,0,26,21,81 %,58 %,59 %,"0,2 %",Muy Bajo
564,0,30,26,87 %,83 %,82 %,"0,2 %",Muy Bajo
566,0,14,11,79 %,30 %,32 %,"0,2 %",Muy Bajo
542,0,33,30,91 %,91 %,91 %,"0,1 %",Muy Bajo
9,1,19,19,100 %,100 %,100 %,"0,0 %",Ninguno
32,0,19,19,100 %,42 %,42 %,"0,0 %",Ninguno
42,0,18,18,100 %,40 %,40 %,"0,0 %",Ninguno
61,1,16,16,100 %,100 %,101 %,"0,0 %",Ninguno
90,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
97,1,13,13,100 %,100 %,100 %,"0,0 %",Ninguno
103,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
104,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
115,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
128,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
130,1,19,19,100 %,100 %,106 %,"0,0 %",Ninguno
133,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
140,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
141,1,19,19,100 %,100 %,100 %,"0,0 %",Ninguno
145,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
148,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
149,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
151,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
159,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
162,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
169,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
171,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
173,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
174,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
176,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
179,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
182,1,16,16,100 %,100 %,197 %,"0,0 %",Ninguno
183,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
184,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
187,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
188,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
189,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
191,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
192,1,21,21,100 %,100 %,164 %,"0,0 %",Ninguno
193,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
194,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
195,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
198,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
207,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
209,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
215,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
216,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
222,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
223,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
224,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
228,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
231,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
233,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
235,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
295,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
300,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
302,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
303,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
304,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
307,1,19,19,100 %,100 %,100 %,"0,0 %",Ninguno
311,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
312,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
313,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
314,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
315,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
320,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
321,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
325,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
333,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
334,1,16,16,100 %,100 %,228 %,"0,0 %",Ninguno
343,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
348,1,44,44,100 %,100 %,100 %,"0,0 %",Ninguno
349,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
353,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
354,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
355,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
356,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
361,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
362,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
364,1,44,44,100 %,100 %,100 %,"0,0 %",Ninguno
365,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
368,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
369,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
372,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
375,1,44,44,100 %,100 %,100 %,"0,0 %",Ninguno
378,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
379,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
380,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
382,1,44,44,100 %,100 %,100 %,"0,0 %",Ninguno
383,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
384,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
385,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
386,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
389,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
390,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
392,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
394,1,44,44,100 %,100 %,100 %,"0,0 %",Ninguno
395,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
396,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
397,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
399,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
400,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
401,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
403,1,43,43,100 %,100 %,100 %,"0,0 %",Ninguno
404,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
405,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
406,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
407,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
408,1,11,11,100 %,100 %,100 %,"0,0 %",Ninguno
409,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
414,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
417,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
418,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
419,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
420,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
421,1,44,44,100 %,100 %,100 %,"0,0 %",Ninguno
422,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
423,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
424,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
425,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
426,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
506,1,44,44,100 %,100 %,100 %,"0,0 %",Ninguno
528,0,25,25,100 %,92 %,92 %,"0,0 %",Ninguno
534,1,27,27,100 %,100 %,102 %,"0,0 %",Ninguno
536,1,44,44,100 %,100 %,120 %,"0,0 %",Ninguno
541,1,44,44,100 %,100 %,113 %,"0,0 %",Ninguno
556,1,27,27,100 %,100 %,112 %,"0,0 %",Ninguno
558,0,12,12,100 %,31 %,32 %,"0,0 %",Ninguno
561,1,16,16,100 %,100 %,139 %,"0,0 %",Ninguno
563,0,33,33,100 %,74 %,75 %,"0,0 %",Ninguno
568,1,19,19,100 %,100 %,198 %,"0,0 %",Ninguno
569,1,21,21,100 %,100 %,114 %,"0,0 %",Ninguno
570,1,36,36,100 %,100 %,110 %,"0,0 %",Ninguno
572,1,16,16,100 %,100 %,156 %,"0,0 %",Ninguno
577,1,16,16,100 %,100 %,116 %,"0,0 %",Ninguno
579,1,27,27,100 %,100 %,108 %,"0,0 %",Ninguno
588,1,44,44,100 %,100 %,122 %,"0,0 %",Ninguno
589,1,44,44,100 %,100 %,201 %,"0,0 %",Ninguno
596,1,44,44,100 %,100 %,100 %,"0,0 %",Ninguno
597,1,44,44,100 %,100 %,94 %,"0,0 %",Ninguno
599,0,26,26,100 %,71 %,71 %,"0,0 %",Ninguno
600,1,27,27,100 %,100 %,109 %,"0,0 %",Ninguno
602,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
605,1,16,16,100 %,100 %,117 %,"0,0 %",Ninguno
606,1,16,16,100 %,100 %,117 %,"0,0 %",Ninguno
611,1,16,16,100 %,100 %,97 %,"0,0 %",Ninguno
612,0,20,20,100 %,73 %,74 %,"0,0 %",Ninguno
619,1,44,44,100 %,100 %,106 %,"0,0 %",Ninguno
622,1,16,16,100 %,100 %,101 %,"0,0 %",Ninguno
623,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
624,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
627,1,44,44,100 %,100 %,109 %,"0,0 %",Ninguno
630,1,44,44,100 %,100 %,131 %,"0,0 %",Ninguno
632,1,27,27,100 %,100 %,159 %,"0,0 %",Ninguno
637,1,16,16,100 %,100 %,140 %,"0,0 %",Ninguno
647,1,44,44,100 %,100 %,103 %,"0,0 %",Ninguno
650,1,16,16,100 %,100 %,169 %,"0,0 %",Ninguno
653,1,16,16,100 %,100 %,141 %,"0,0 %",Ninguno
655,1,27,27,100 %,100 %,131 %,"0,0 %",Ninguno
680,0,8,8,100 %,20 %,20 %,"0,0 %",Ninguno
698,0,10,10,100 %,21 %,21 %,"0,0 %",Ninguno
702,1,44,44,100 %,100 %,122 %,"0,0 %",Ninguno
707,0,8,8,100 %,16 %,17 %,"0,0 %",Ninguno
717,0,14,14,100 %,30 %,30 %,"0,0 %",Ninguno
720,0,7,7,100 %,17 %,17 %,"0,0 %",Ninguno
722,1,44,44,100 %,100 %,100 %,"0,0 %",Ninguno
727,0,5,5,100 %,9 %,9 %,"0,0 %",Ninguno
734,0,5,5,100 %,9 %,9 %,"0,0 %",Ninguno
749,0,2,2,100 %,2 %,1 %,"0,0 %",Ninguno
751,0,2,2,100 %,2 %,3 %,"0,0 %",Ninguno
752,0,2,2,100 %,2 %,2 %,"0,0 %",Ninguno
762,0,2,2,100 %,7 %,0 %,"0,0 %",Ninguno
763,0,1,1,100 %,0 %,0 %,"0,0 %",Ninguno
764,0,1,1,100 %,0 %,0 %,"0,0 %",Ninguno
