Folio,Cierre Esperado,Pagos Esperados,Pagos Realizados,Pagos Cubiertos,Avance Esperado,Avance Cumplido,Diferencia,Riesgo
261,0,26,9,35 %,58 %,25 %,"28,2 %",Alto
613,1,36,20,56 %,100 %,89 %,"27,7 %",Alto
197,1,44,32,73 %,100 %,72 %,"27,6 %",Alto
199,1,44,32,73 %,100 %,72 %,"27,6 %",Alto
150,1,27,20,74 %,100 %,73 %,"26,4 %",Alto
567,1,16,10,63 %,100 %,86 %,"25,9 %",Alto
293,0,28,13,46 %,63 %,28 %,"25,6 %",Alto
280,0,26,11,42 %,58 %,23 %,"25,4 %",Alto
167,1,36,27,75 %,100 %,74 %,"25,4 %",Alto
168,1,36,27,75 %,100 %,74 %,"25,4 %",Alto
170,0,26,9,35 %,50 %,16 %,"24,7 %",Alto
125,1,21,16,76 %,100 %,75 %,"24,4 %",Alto
552,0,27,10,37 %,60 %,36 %,"24,2 %",Alto
576,0,26,17,65 %,96 %,79 %,"23,9 %",Alto
213,1,44,34,77 %,100 %,77 %,"23,0 %",Alto
214,1,44,34,77 %,100 %,77 %,"23,0 %",Alto
305,1,44,34,77 %,100 %,77 %,"23,0 %",Alto
657,0,13,4,31 %,46 %,16 %,"22,8 %",Alto
712,1,21,7,33 %,100 %,121 %,"22,6 %",Alto
186,1,36,28,78 %,100 %,77 %,"22,5 %",Alto
716,0,7,2,29 %,40 %,7 %,"22,4 %",Alto
675,0,26,7,27 %,58 %,47 %,"21,4 %",Alto
592,0,62,21,34 %,76 %,77 %,"21,0 %",Alto
289,1,16,13,81 %,100 %,80 %,"19,4 %",Regular
677,0,11,1,9 %,23 %,0 %,"18,7 %",Regular
546,0,25,12,48 %,69 %,54 %,"17,6 %",Regular
660,0,26,9,35 %,71 %,73 %,"17,4 %",Regular
670,1,16,8,50 %,100 %,115 %,"17,4 %",Regular
185,1,36,30,83 %,100 %,83 %,"16,9 %",Regular
620,0,26,13,50 %,58 %,34 %,"16,2 %",Regular
221,1,44,37,84 %,100 %,84 %,"16,1 %",Regular
636,0,37,20,54 %,84 %,83 %,"15,2 %",Regular
609,0,28,15,54 %,63 %,43 %,"14,7 %",Regular
535,0,32,19,59 %,89 %,89 %,"14,2 %",Regular
205,1,36,31,86 %,100 %,86 %,"14,1 %",Regular
646,0,41,28,68 %,93 %,90 %,"14,0 %",Regular
220,1,44,38,86 %,100 %,86 %,"13,8 %",Regular
530,0,22,10,45 %,60 %,47 %,"13,6 %",Regular
643,1,44,29,66 %,100 %,108 %,"13,1 %",Regular
532,1,27,24,89 %,100 %,86 %,"12,7 %",Regular
638,0,32,23,72 %,89 %,80 %,"12,4 %",Regular
598,0,26,19,73 %,96 %,95 %,"12,4 %",Regular
531,1,44,39,89 %,100 %,87 %,"12,0 %",Regular
550,0,30,19,63 %,83 %,79 %,"11,6 %",Regular
219,1,44,39,89 %,100 %,88 %,"11,5 %",Regular
319,1,44,39,89 %,100 %,88 %,"11,5 %",Regular
629,0,40,28,70 %,91 %,89 %,"11,2 %",Regular
581,0,39,31,79 %,88 %,75 %,"11,1 %",Regular
565,0,26,14,54 %,58 %,41 %,"11,0 %",Regular
559,1,21,17,81 %,100 %,99 %,"9,9 %",Bajo
306,1,44,40,91 %,100 %,91 %,"9,2 %",Bajo
583,0,26,16,62 %,58 %,37 %,"9,1 %",Bajo
217,1,36,33,92 %,100 %,91 %,"8,5 %",Bajo
48,1,27,25,93 %,100 %,92 %,"7,5 %",Bajo
175,1,27,25,93 %,100 %,92 %,"7,5 %",Bajo
733,1,27,23,85 %,100 %,101 %,"7,1 %",Bajo
615,1,27,23,85 %,100 %,102 %,"6,6 %",Bajo
212,1,36,34,94 %,100 %,94 %,"5,6 %",Bajo
238,1,36,34,94 %,100 %,94 %,"5,6 %",Bajo
111,1,19,18,95 %,100 %,94 %,"5,4 %",Bajo
116,1,19,18,95 %,100 %,94 %,"5,4 %",Bajo
580,1,21,20,95 %,100 %,94 %,"5,2 %",Bajo
551,1,44,37,84 %,100 %,106 %,"5,0 %",Muy Bajo
607,0,26,23,88 %,96 %,94 %,"4,9 %",Muy Bajo
586,1,45,44,98 %,100 %,93 %,"4,8 %",Muy Bajo
324,1,44,42,95 %,100 %,95 %,"4,6 %",Muy Bajo
635,0,39,32,82 %,88 %,88 %,"3,5 %",Muy Bajo
651,1,44,37,84 %,100 %,109 %,"3,5 %",Muy Bajo
730,0,5,2,40 %,27 %,7 %,"3,3 %",Muy Bajo
597,1,44,44,100 %,100 %,94 %,"2,8 %",Muy Bajo
309,1,36,35,97 %,100 %,97 %,"2,8 %",Muy Bajo
645,1,36,28,78 %,100 %,118 %,"2,1 %",Muy Bajo
527,0,32,27,84 %,89 %,89 %,"2,1 %",Muy Bajo
649,1,44,36,82 %,100 %,115 %,"1,6 %",Muy Bajo
582,0,34,25,74 %,77 %,77 %,"1,4 %",Muy Bajo
611,1,16,16,100 %,100 %,97 %,"1,4 %",Muy Bajo
639,0,35,27,77 %,79 %,79 %,"0,8 %",Muy Bajo
642,0,35,28,80 %,79 %,77 %,"0,7 %",Muy Bajo
595,1,44,41,93 %,100 %,106 %,"0,6 %",Muy Bajo
542,0,33,30,91 %,91 %,91 %,"0,5 %",Muy Bajo
9,1,19,19,100 %,100 %,100 %,"0,0 %",Ninguno
90,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
97,1,13,13,100 %,100 %,100 %,"0,0 %",Ninguno
103,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
104,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
115,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
128,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
133,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
140,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
141,1,19,19,100 %,100 %,100 %,"0,0 %",Ninguno
145,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
148,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
149,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
151,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
159,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
162,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
169,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
171,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
173,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
174,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
176,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
179,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
183,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
184,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
187,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
188,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
189,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
191,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
193,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
194,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
195,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
198,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
207,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
209,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
215,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
216,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
222,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
223,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
224,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
228,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
231,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
233,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
235,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
295,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
300,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
302,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
303,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
304,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
307,1,19,19,100 %,100 %,100 %,"0,0 %",Ninguno
311,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
312,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
313,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
314,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
315,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
320,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
321,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
325,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
333,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
343,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
348,1,44,44,100 %,100 %,100 %,"0,0 %",Ninguno
349,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
353,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
354,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
355,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
356,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
361,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
362,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
364,1,44,44,100 %,100 %,100 %,"0,0 %",Ninguno
365,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
368,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
369,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
372,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
375,1,44,44,100 %,100 %,100 %,"0,0 %",Ninguno
378,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
379,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
380,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
382,1,44,44,100 %,100 %,100 %,"0,0 %",Ninguno
383,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
384,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
385,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
386,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
389,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
390,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
392,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
394,1,44,44,100 %,100 %,100 %,"0,0 %",Ninguno
395,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
396,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
397,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
399,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
400,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
401,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
403,1,43,43,100 %,100 %,100 %,"0,0 %",Ninguno
404,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
405,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
406,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
407,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
408,1,11,11,100 %,100 %,100 %,"0,0 %",Ninguno
409,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
414,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
417,1,21,21,100 %,100 %,100 %,"0,0 %",Ninguno
418,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
419,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
420,1,36,36,100 %,100 %,100 %,"0,0 %",Ninguno
421,1,44,44,100 %,100 %,100 %,"0,0 %",Ninguno
422,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
423,1,16,16,100 %,100 %,100 %,"0,0 %",Ninguno
424,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
425,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
426,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
506,1,44,44,100 %,100 %,100 %,"0,0 %",Ninguno
623,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
624,1,27,27,100 %,100 %,100 %,"0,0 %",Ninguno
722,1,44,44,100 %,100 %,100 %,"0,0 %",Ninguno
703,0,9,3,33 %,20 %,6 %,"-0,1 %",Ninguno
596,1,44,44,100 %,100 %,100 %,"-0,2 %",Ninguno
602,1,36,36,100 %,100 %,100 %,"-0,2 %",Ninguno
61,1,16,16,100 %,100 %,101 %,"-0,5 %",Ninguno
622,1,16,16,100 %,100 %,101 %,"-0,5 %",Ninguno
578,1,27,26,96 %,100 %,105 %,"-0,6 %",Ninguno
59,0,16,7,44 %,35 %,28 %,"-0,8 %",Ninguno
534,1,27,27,100 %,100 %,102 %,"-0,8 %",Ninguno
26,0,19,9,47 %,42 %,39 %,"-1,1 %",Ninguno
647,1,44,44,100 %,100 %,103 %,"-1,3 %",Ninguno
723,0,7,2,29 %,14 %,2 %,"-1,5 %",Ninguno
14,0,19,11,58 %,51 %,48 %,"-1,6 %",Ninguno
553,0,26,14,54 %,50 %,49 %,"-1,6 %",Ninguno
564,0,30,26,87 %,83 %,82 %,"-1,7 %",Ninguno
644,0,37,34,92 %,84 %,80 %,"-2,4 %",Ninguno
633,1,16,13,81 %,100 %,124 %,"-2,5 %",Ninguno
619,1,44,44,100 %,100 %,106 %,"-2,8 %",Ninguno
130,1,19,19,100 %,100 %,106 %,"-3,2 %",Ninguno
748,0,3,1,33 %,13 %,0 %,"-3,3 %",Ninguno
641,1,16,10,63 %,100 %,145 %,"-3,6 %",Ninguno
603,0,38,36,95 %,86 %,85 %,"-3,7 %",Ninguno
528,0,25,25,100 %,92 %,92 %,"-3,8 %",Ninguno
671,1,27,26,96 %,100 %,112 %,"-3,9 %",Ninguno
445,0,15,10,67 %,54 %,49 %,"-3,9 %",Ninguno
579,1,27,27,100 %,100 %,108 %,"-4,1 %",Ninguno
560,1,21,18,86 %,100 %,123 %,"-4,3 %",Ninguno
600,1,27,27,100 %,100 %,109 %,"-4,4 %",Ninguno
627,1,44,44,100 %,100 %,109 %,"-4,7 %",Ninguno
544,0,38,36,95 %,86 %,87 %,"-4,7 %",Ninguno
604,0,23,22,96 %,85 %,83 %,"-4,7 %",Ninguno
628,0,26,18,69 %,58 %,56 %,"-4,7 %",Ninguno
570,1,36,36,100 %,100 %,110 %,"-5,1 %",Ninguno
704,0,9,7,78 %,53 %,40 %,"-5,6 %",Ninguno
601,0,34,30,88 %,77 %,76 %,"-5,6 %",Ninguno
556,1,27,27,100 %,100 %,112 %,"-5,8 %",Ninguno
541,1,44,44,100 %,100 %,113 %,"-6,5 %",Ninguno
569,1,21,21,100 %,100 %,114 %,"-7,1 %",Ninguno
593,0,21,13,62 %,47 %,46 %,"-7,2 %",Ninguno
669,0,11,5,45 %,23 %,16 %,"-7,3 %",Ninguno
555,0,26,19,73 %,58 %,58 %,"-7,5 %",Ninguno
577,1,16,16,100 %,100 %,116 %,"-8,1 %",Ninguno
621,0,26,23,88 %,71 %,71 %,"-8,5 %",Ninguno
605,1,16,16,100 %,100 %,117 %,"-8,6 %",Ninguno
606,1,16,16,100 %,100 %,117 %,"-8,6 %",Ninguno
617,1,27,24,89 %,100 %,129 %,"-8,7 %",Ninguno
545,0,26,20,77 %,58 %,57 %,"-9,1 %",Ninguno
39,0,18,12,67 %,49 %,49 %,"-9,3 %",Ninguno
540,0,26,20,77 %,58 %,58 %,"-9,4 %",Ninguno
536,1,44,44,100 %,100 %,120 %,"-10,1 %",Ninguno
588,1,44,44,100 %,100 %,122 %,"-10,8 %",Ninguno
702,1,44,44,100 %,100 %,122 %,"-10,8 %",Ninguno
43,0,17,10,59 %,37 %,37 %,"-10,8 %",Ninguno
539,0,26,21,81 %,58 %,59 %,"-12,0 %",Ninguno
563,0,33,33,100 %,74 %,75 %,"-13,3 %",Ninguno
612,0,20,20,100 %,73 %,74 %,"-13,7 %",Ninguno
599,0,26,26,100 %,71 %,71 %,"-14,3 %",Ninguno
571,0,26,23,88 %,58 %,58 %,"-15,0 %",Ninguno
630,1,44,44,100 %,100 %,131 %,"-15,6 %",Ninguno
655,1,27,27,100 %,100 %,131 %,"-15,7 %",Ninguno
697,0,10,9,90 %,60 %,62 %,"-16,0 %",Ninguno
18,0,19,14,74 %,42 %,43 %,"-16,6 %",Ninguno
594,0,26,24,92 %,58 %,57 %,"-16,8 %",Ninguno
618,1,36,24,67 %,100 %,167 %,"-16,8 %",Ninguno
683,0,11,7,64 %,23 %,19 %,"-17,9 %",Ninguno
584,0,24,22,92 %,53 %,51 %,"-18,1 %",Ninguno
46,0,17,14,82 %,46 %,45 %,"-18,1 %",Ninguno
585,0,21,20,95 %,57 %,57 %,"-19,0 %",Ninguno
561,1,16,16,100 %,100 %,139 %,"-19,5 %",Ninguno
610,0,26,25,96 %,58 %,59 %,"-19,7 %",Ninguno
431,0,16,12,75 %,35 %,35 %,"-19,9 %",Ninguno
637,1,16,16,100 %,100 %,140 %,"-20,0 %",Ninguno
653,1,16,16,100 %,100 %,141 %,"-20,5 %",Ninguno
625,0,20,17,85 %,44 %,45 %,"-20,9 %",Ninguno
626,0,20,17,85 %,44 %,45 %,"-20,9 %",Ninguno
753,0,2,1,50 %,3 %,0 %,"-22,1 %",Ninguno
714,0,8,5,63 %,16 %,15 %,"-22,3 %",Ninguno
443,0,12,9,75 %,31 %,33 %,"-22,6 %",Ninguno
430,0,16,13,81 %,35 %,35 %,"-23,0 %",Ninguno
590,1,44,43,98 %,100 %,150 %,"-23,9 %",Ninguno
648,0,13,10,77 %,28 %,27 %,"-24,0 %",Ninguno
740,0,4,3,75 %,20 %,13 %,"-24,2 %",Ninguno
591,0,21,20,95 %,47 %,47 %,"-24,7 %",Ninguno
566,0,14,11,79 %,30 %,32 %,"-25,2 %",Ninguno
587,1,21,14,67 %,100 %,184 %,"-25,5 %",Ninguno
724,0,7,5,71 %,14 %,11 %,"-27,1 %",Ninguno
572,1,16,16,100 %,100 %,156 %,"-28,1 %",Ninguno
746,0,3,2,67 %,5 %,1 %,"-28,6 %",Ninguno
32,0,19,19,100 %,42 %,42 %,"-29,1 %",Ninguno
632,1,27,27,100 %,100 %,159 %,"-29,7 %",Ninguno
42,0,18,18,100 %,40 %,40 %,"-30,2 %",Ninguno
747,0,3,2,67 %,5 %,4 %,"-30,7 %",Ninguno
192,1,21,21,100 %,100 %,164 %,"-32,1 %",Ninguno
664,0,12,11,92 %,26 %,25 %,"-32,7 %",Ninguno
